order_id,order_date,customer_id,product,category,region,quantity,unit_price
100044,2023/05/23,C0144,Desk,Furniture,West,2,8000
100045,invalid,C0078,Chair,Furniture,West,1,3500
100046,2023-05-02,C0554,Laptop,Electronics,North,-1,55000
100047,2023/07/25,C0498,Mobile,Electronics,West,2,20000
100048,,C0389,Laptop,Electronics,North,1,55000
100049,,C0466,Headphones,Electronics,East,0,3000
100050,2023/04/08,C0570,Sofa,Furniture,West,0,25000
100051,30-01-23,C0060,Tablet,Electronics,North,1,30000
100052,2023-09-18,C0489,Laptop,Electronics,South,3,55000
100053,invalid,C0191,Laptop,Electronics,North,0,55000
100054,2023-10-19,C0241,Sofa,Furniture,West,0,25000
100055,,C0041,Mobile,Electronics,North,3,20000
100056,15-04-23,C0536,Desk,Furniture,East,3,8000
100057,22-07-23,C0322,Sofa,Furniture,South,-1,25000
100058,07-02-23,C0308,Mobile,Electronics,West,-1,20000
100059,2023-10-03,C0577,Laptop,Electronics,North,2,55000
100060,05-02-23,C0272,Mobile,Electronics,South,3,20000
100061,,C0292,Mobile,Electronics,South,1,20000
100062,invalid,C0542,Sofa,Furniture,North,1,25000
100063,2023-02-24,C0138,Sofa,Furniture,East,1,25000
100064,06-11-23,C0160,Sofa,Furniture,East,3,25000
100065,16-09-23,C0352,Mobile,Electronics,South,-1,20000
100066,,C0053,Chair,Furniture,North,1,3500
100067,24-03-23,C0342,Laptop,Electronics,South,1,55000
100068,invalid,C0565,Sofa,Furniture,West,2,25000
100069,26-10-23,C0153,Laptop,Electronics,North,1,55000
100070,2023-06-07,C0441,Desk,Furniture,South,1,8000
100071,2023/12/16,C0041,Tablet,Electronics,East,0,30000
100072,invalid,C0106,Mobile,Electronics,East,-1,20000
100073,2023/04/01,C0159,Desk,Furniture,South,-1,8000
100074,,C0184,Chair,Furniture,East,1,3500
100075,2023/12/26,C0255,Headphones,Electronics,East,-1,3000
100076,2023/04/13,C0040,Laptop,Electronics,West,2,55000
100077,2023/04/25,C0359,Headphones,Electronics,East,2,3000
100078,23-05-23,C0198,Laptop,Electronics,West,-1,55000
100079,invalid,C0286,Headphones,Electronics,East,1,3000
100080,2023-03-01,C0550,Sofa,Furniture,East,0,25000
100081,2023-02-25,C0595,Tablet,Electronics,East,1,30000
100082,,C0354,Desk,Furniture,East,2,8000
100083,23-01-23,C0395,Desk,Furniture,South,1,8000
100084,09-08-23,C0002,Sofa,Furniture,South,2,25000
100085,2023-06-03,C0339,Laptop,Electronics,East,-1,55000
100086,,C0419,Desk,Furniture,East,1,8000
100087,,C0131,Tablet,Electronics,South,3,30000
100088,,C0179,Chair,Furniture,East,-1,3500
100089,2023/08/09,C0312,Headphones,Electronics,East,1,3000
100090,,C0330,Headphones,Electronics,West,3,3000
100091,2023/12/04,C0524,Sofa,Furniture,West,1,25000
100092,2023-05-01,C0528,Laptop,Electronics,East,1,55000
100093,2023/01/13,C0231,Sofa,Furniture,South,1,25000
100094,,C0487,Laptop,Electronics,North,1,55000
100095,,C0200,Sofa,Furniture,West,3,25000
100096,,C0006,Mobile,Electronics,North,1,20000
100097,2023-10-13,C0531,Mobile,Electronics,West,0,20000
100098,2023/08/26,C0125,Mobile,Electronics,West,0,20000
100099,,C0573,Sofa,Furniture,East,3,25000
100100,invalid,C0517,Headphones,Electronics,West,-1,3000
100101,07-05-23,C0487,Mobile,Electronics,West,-1,20000
100102,2023/05/21,C0284,Headphones,Electronics,West,-1,3000
100103,21-06-23,C0293,Chair,Furniture,South,1,3500
100104,2023/04/29,C0083,Tablet,Electronics,South,3,30000
100105,2023-08-01,C0157,Chair,Furniture,South,-1,3500
100106,,C0556,Chair,Furniture,West,1,3500
100107,invalid,C0431,Mobile,Electronics,West,0,20000
100108,,C0590,Laptop,Electronics,West,0,55000
100109,invalid,C0400,Tablet,Electronics,West,1,30000
100110,2023/05/20,C0226,Headphones,Electronics,West,3,3000
100111,09-12-23,C0030,Chair,Furniture,West,2,3500
100112,,C0415,Sofa,Furniture,South,0,25000
100113,invalid,C0028,Desk,Furniture,West,3,8000
100114,2023/08/25,C0086,Sofa,Furniture,West,1,25000
100115,19-04-23,C0267,Mobile,Electronics,West,1,20000
100116,04-08-23,C0346,Chair,Furniture,West,1,3500
100117,2023-10-04,C0084,Tablet,Electronics,West,0,30000
100118,2023-01-16,C0230,Laptop,Electronics,North,1,55000
100119,2023/03/06,C0021,Mobile,Electronics,South,1,20000
100120,,C0118,Chair,Furniture,South,-1,3500
100121,invalid,C0378,Tablet,Electronics,South,0,30000
100122,25-02-23,C0118,Sofa,Furniture,South,-1,25000
100123,,C0320,Desk,Furniture,West,1,8000
100124,17-12-23,C0249,Laptop,Electronics,North,3,55000
100125,30-09-23,C0124,Desk,Furniture,North,0,8000
100126,invalid,C0380,Chair,Furniture,North,-1,3500
100127,2023-08-10,C0431,Tablet,Electronics,West,1,30000
100128,,C0471,Tablet,Electronics,South,-1,30000
100129,,C0277,Sofa,Furniture,West,3,25000
100130,2023/02/14,C0275,Headphones,Electronics,East,-1,3000
100131,invalid,C0250,Tablet,Electronics,West,2,30000
100132,,C0345,Sofa,Furniture,North,2,25000
100133,24-06-23,C0218,Mobile,Electronics,East,2,20000
100134,invalid,C0283,Tablet,Electronics,North,3,30000
100135,invalid,C0417,Laptop,Electronics,West,1,55000
100136,2023-02-17,C0503,Sofa,Furniture,West,2,25000
100137,06-12-23,C0415,Tablet,Electronics,South,1,30000
100138,,C0485,Desk,Furniture,East,1,8000
100139,09-05-23,C0465,Tablet,Electronics,East,1,30000
100140,2023-10-02,C0198,Mobile,Electronics,East,1,20000
100141,2023/09/05,C0190,Headphones,Electronics,South,-1,3000
100142,2023-04-10,C0538,Tablet,Electronics,East,-1,30000
100143,08-01-23,C0370,Tablet,Electronics,South,1,30000
100144,2023-01-28,C0130,Sofa,Furniture,East,3,25000
100145,2023-01-07,C0130,Desk,Furniture,West,1,8000
100146,,C0481,Desk,Furniture,West,1,8000
100147,2023-02-03,C0259,Mobile,Electronics,West,1,20000
100148,2023/03/18,C0076,Chair,Furniture,North,2,3500
100149,2023/03/02,C0312,Headphones,Electronics,North,3,3000
100150,invalid,C0427,Desk,Furniture,South,0,8000
100151,19-10-23,C0305,Chair,Furniture,West,2,3500
100152,2023/05/16,C0102,Desk,Furniture,South,1,8000
100153,2023/10/10,C0161,Sofa,Furniture,South,1,25000
100154,,C0003,Laptop,Electronics,West,1,55000
100155,2023/05/28,C0299,Desk,Furniture,North,2,8000
100156,2023/05/16,C0465,Sofa,Furniture,North,1,25000
100157,2023-10-06,C0203,Headphones,Electronics,West,0,3000
100158,2023/02/06,C0153,Mobile,Electronics,East,-1,20000
100159,,C0315,Laptop,Electronics,East,1,55000
100160,14-09-23,C0312,Chair,Furniture,West,-1,3500
100161,invalid,C0449,Desk,Furniture,North,2,8000
100162,2023-02-16,C0331,Chair,Furniture,East,-1,3500
100163,23-10-23,C0590,Mobile,Electronics,North,-1,20000
100164,invalid,C0180,Laptop,Electronics,West,0,55000
100165,,C0186,Chair,Furniture,West,1,3500
100166,10-12-23,C0419,Chair,Furniture,East,1,3500
100167,,C0165,Laptop,Electronics,East,0,55000
100168,,C0411,Chair,Furniture,North,1,3500
100169,,C0332,Tablet,Electronics,North,1,30000
100170,,C0556,Headphones,Electronics,West,1,3000
100171,,C0371,Mobile,Electronics,West,3,20000
100172,13-08-23,C0563,Mobile,Electronics,South,1,20000
100173,invalid,C0125,Sofa,Furniture,North,2,25000
100174,invalid,C0319,Sofa,Furniture,North,1,25000
100175,2023-11-28,C0117,Laptop,Electronics,West,1,55000
100176,invalid,C0511,Headphones,Electronics,East,1,3000
100177,2023/08/22,C0495,Tablet,Electronics,West,2,30000
100178,invalid,C0393,Desk,Furniture,South,1,8000
100179,,C0072,Sofa,Furniture,East,1,25000
100180,02-06-23,C0274,Headphones,Electronics,North,3,3000
100181,2023/08/17,C0594,Headphones,Electronics,West,3,3000
100182,invalid,C0354,Desk,Furniture,East,2,8000
100183,2023/10/20,C0330,Chair,Furniture,South,2,3500
100184,31-08-23,C0421,Chair,Furniture,North,1,3500
100185,2023/09/11,C0391,Sofa,Furniture,West,0,25000
100186,2023-08-14,C0515,Laptop,Electronics,East,1,55000
100187,2023/07/29,C0468,Laptop,Electronics,North,3,55000
100188,,C0159,Headphones,Electronics,North,-1,3000
100189,12-12-23,C0408,Tablet,Electronics,North,3,30000
100190,,C0390,Headphones,Electronics,East,3,3000
100191,27-04-23,C0071,Laptop,Electronics,South,3,55000
100192,2023-08-16,C0445,Sofa,Furniture,North,1,25000
100193,2023-06-16,C0307,Mobile,Electronics,North,-1,20000
100194,09-08-23,C0301,Headphones,Electronics,East,1,3000
100195,invalid,C0544,Mobile,Electronics,West,1,20000
100196,2023-11-09,C0175,Headphones,Electronics,South,1,3000
100197,invalid,C0247,Headphones,Electronics,West,2,3000
100198,08-12-23,C0261,Mobile,Electronics,West,2,20000
100199,invalid,C0477,Laptop,Electronics,East,0,55000
100200,,C0354,Laptop,Electronics,East,2,55000
100201,,C0310,Tablet,Electronics,South,2,30000
100202,invalid,C0391,Laptop,Electronics,East,1,55000
100203,05-01-23,C0023,Sofa,Furniture,West,1,25000
100204,28-04-23,C0051,Desk,Furniture,West,0,8000
100205,2023/11/14,C0361,Desk,Furniture,South,0,8000
100206,2023-06-08,C0141,Tablet,Electronics,North,-1,30000
100207,2023/02/16,C0035,Headphones,Electronics,East,2,3000
100208,2023/03/09,C0426,Tablet,Electronics,South,1,30000
100209,2023/05/12,C0375,Headphones,Electronics,East,3,3000
100210,2023-08-28,C0303,Headphones,Electronics,East,2,3000
100211,invalid,C0232,Laptop,Electronics,West,1,55000
100212,02-10-23,C0405,Laptop,Electronics,North,0,55000
100213,invalid,C0378,Laptop,Electronics,East,2,55000
100214,2023/08/30,C0381,Headphones,Electronics,North,-1,3000
100215,invalid,C0575,Laptop,Electronics,East,3,55000
100216,,C0476,Sofa,Furniture,East,1,25000
100217,,C0039,Mobile,Electronics,East,1,20000
100218,,C0551,Laptop,Electronics,South,1,55000
100219,invalid,C0554,Tablet,Electronics,West,-1,30000
100220,invalid,C0102,Chair,Furniture,West,-1,3500
100221,,C0380,Tablet,Electronics,South,1,30000
100222,06-10-23,C0372,Mobile,Electronics,North,0,20000
100223,08-04-23,C0063,Sofa,Furniture,West,1,25000
100224,2023/11/25,C0466,Laptop,Electronics,North,0,55000
100225,05-05-23,C0022,Sofa,Furniture,North,3,25000
100226,2023-10-11,C0579,Mobile,Electronics,South,0,20000
100227,17-03-23,C0222,Mobile,Electronics,South,3,20000
100228,2023/03/08,C0003,Headphones,Electronics,East,3,3000
100229,2023-03-09,C0179,Desk,Furniture,North,1,8000
100230,2023-03-31,C0244,Laptop,Electronics,East,1,55000
100231,invalid,C0130,Tablet,Electronics,West,1,30000
100232,20-09-23,C0488,Sofa,Furniture,West,1,25000
100233,invalid,C0463,Desk,Furniture,South,1,8000
100234,,C0534,Sofa,Furniture,East,0,25000
100235,,C0491,Laptop,Electronics,West,1,55000
100236,2023-06-14,C0455,Laptop,Electronics,North,2,55000
100237,16-11-23,C0068,Desk,Furniture,South,1,8000
100238,,C0562,Sofa,Furniture,East,3,25000
100239,2023-12-26,C0465,Desk,Furniture,West,1,8000
100240,,C0565,Laptop,Electronics,South,0,55000
100241,,C0348,Mobile,Electronics,West,2,20000
100242,07-12-23,C0321,Sofa,Furniture,West,1,25000
100243,2023-02-16,C0157,Tablet,Electronics,West,1,30000
100244,2023-07-10,C0096,Headphones,Electronics,West,1,3000
100245,invalid,C0570,Headphones,Electronics,North,1,3000
100246,07-12-23,C0126,Desk,Furniture,West,1,8000
100247,invalid,C0053,Headphones,Electronics,East,2,3000
100248,2023/12/03,C0592,Tablet,Electronics,South,1,30000
100249,invalid,C0111,Chair,Furniture,East,1,3500
100250,,C0286,Laptop,Electronics,South,0,55000
100251,invalid,C0571,Headphones,Electronics,North,0,3000
100252,2023/05/20,C0274,Headphones,Electronics,North,-1,3000
100253,04-01-23,C0317,Sofa,Furniture,East,0,25000
100254,2023-03-14,C0147,Mobile,Electronics,West,0,20000
100255,invalid,C0032,Sofa,Furniture,North,-1,25000
100256,2023/07/09,C0465,Chair,Furniture,East,2,3500
100257,2023-03-21,C0333,Tablet,Electronics,North,-1,30000
100258,15-08-23,C0051,Mobile,Electronics,North,0,20000
100259,,C0498,Sofa,Furniture,West,2,25000
100260,09-08-23,C0525,Mobile,Electronics,North,0,20000
100261,2023-04-23,C0499,Laptop,Electronics,East,1,55000
100262,2023/06/04,C0057,Chair,Furniture,North,3,3500
100263,17-06-23,C0141,Mobile,Electronics,East,0,20000
100264,2023/03/08,C0510,Laptop,Electronics,West,1,55000
100265,2023-07-23,C0236,Chair,Furniture,East,3,3500
100266,2023-08-24,C0044,Headphones,Electronics,West,-1,3000
100267,invalid,C0321,Laptop,Electronics,West,0,55000
100268,2023-07-27,C0428,Sofa,Furniture,East,-1,25000
100269,15-02-23,C0176,Laptop,Electronics,West,1,55000
100270,,C0109,Chair,Furniture,South,0,3500
100271,23-06-23,C0081,Chair,Furniture,West,3,3500
100272,invalid,C0173,Mobile,Electronics,North,1,20000
100273,29-06-23,C0523,Laptop,Electronics,South,3,55000
100274,2023-03-16,C0152,Sofa,Furniture,South,0,25000
100275,2023-04-01,C0178,Tablet,Electronics,South,1,30000
100276,invalid,C0506,Headphones,Electronics,West,-1,3000
100277,19-03-23,C0579,Chair,Furniture,East,-1,3500
100278,21-05-23,C0481,Chair,Furniture,West,1,3500
100279,25-08-23,C0361,Desk,Furniture,North,1,8000
100280,09-02-23,C0059,Chair,Furniture,East,1,3500
100281,,C0093,Sofa,Furniture,West,0,25000
100282,invalid,C0043,Desk,Furniture,West,0,8000
100283,2023-08-19,C0488,Mobile,Electronics,South,1,20000
100284,invalid,C0352,Laptop,Electronics,North,0,55000
100285,,C0254,Mobile,Electronics,West,1,20000
100286,25-05-23,C0163,Desk,Furniture,East,3,8000
100287,03-02-23,C0347,Chair,Furniture,North,2,3500
100288,10-05-23,C0572,Tablet,Electronics,West,1,30000
100289,2023-10-26,C0154,Sofa,Furniture,East,0,25000
100290,,C0359,Sofa,Furniture,East,1,25000
100291,invalid,C0087,Desk,Furniture,East,-1,8000
100292,invalid,C0337,Sofa,Furniture,South,0,25000
100293,2023-07-05,C0434,Sofa,Furniture,East,-1,25000
100294,,C0220,Tablet,Electronics,East,1,30000
100295,21-02-23,C0159,Mobile,Electronics,North,1,20000
100296,13-11-23,C0553,Desk,Furniture,North,0,8000
100297,2023/04/03,C0386,Mobile,Electronics,South,3,20000
100298,2023-07-30,C0170,Headphones,Electronics,West,-1,3000
100299,invalid,C0244,Tablet,Electronics,West,-1,30000
100300,invalid,C0460,Headphones,Electronics,South,-1,3000
100301,14-12-23,C0481,Tablet,Electronics,South,0,30000
100302,,C0473,Desk,Furniture,East,2,8000
100303,invalid,C0166,Desk,Furniture,South,2,8000
100304,11-10-23,C0054,Headphones,Electronics,West,1,3000
100305,12-02-23,C0529,Laptop,Electronics,North,-1,55000
100306,invalid,C0280,Headphones,Electronics,West,1,3000
100307,,C0094,Headphones,Electronics,South,2,3000
100308,invalid,C0055,Laptop,Electronics,West,2,55000
100309,2023/01/15,C0084,Mobile,Electronics,East,2,20000
100310,2023/01/20,C0344,Tablet,Electronics,South,1,30000
100311,,C0484,Tablet,Electronics,South,0,30000
100312,21-04-23,C0082,Desk,Furniture,North,1,8000
100313,2023-05-28,C0562,Headphones,Electronics,West,1,3000
100314,2023/08/03,C0125,Mobile,Electronics,North,1,20000
100315,2023-09-13,C0469,Sofa,Furniture,North,0,25000
100316,2023/05/30,C0017,Desk,Furniture,South,3,8000
100317,invalid,C0362,Chair,Furniture,South,1,3500
100318,2023-09-27,C0088,Mobile,Electronics,East,-1,20000
100319,,C0520,Desk,Furniture,North,3,8000
100320,09-01-23,C0397,Laptop,Electronics,East,-1,55000
100321,2023/12/03,C0070,Tablet,Electronics,East,0,30000
100322,2023/01/23,C0596,Sofa,Furniture,East,1,25000
100323,,C0347,Tablet,Electronics,South,3,30000
100324,2023-08-23,C0187,Chair,Furniture,South,-1,3500
100325,2023/01/22,C0207,Laptop,Electronics,North,1,55000
100326,invalid,C0528,Tablet,Electronics,West,1,30000
100327,25-01-23,C0196,Tablet,Electronics,East,1,30000
100328,2023-07-08,C0340,Headphones,Electronics,East,-1,3000
100329,06-04-23,C0451,Chair,Furniture,West,2,3500
100330,invalid,C0510,Chair,Furniture,East,-1,3500
100331,,C0435,Headphones,Electronics,North,1,3000
100332,22-02-23,C0559,Headphones,Electronics,East,1,3000
100333,,C0303,Laptop,Electronics,East,1,55000
100334,17-08-23,C0171,Sofa,Furniture,West,2,25000
100335,24-11-23,C0362,Laptop,Electronics,West,-1,55000
100336,20-09-23,C0077,Headphones,Electronics,West,1,3000
100337,2023/11/08,C0164,Headphones,Electronics,North,-1,3000
100338,2023/02/04,C0449,Sofa,Furniture,North,0,25000
100339,,C0376,Mobile,Electronics,East,0,20000
100340,10-07-23,C0158,Laptop,Electronics,West,3,55000
100341,invalid,C0079,Chair,Furniture,South,0,3500
100342,2023-01-14,C0286,Chair,Furniture,South,1,3500
100343,invalid,C0512,Sofa,Furniture,West,1,25000
100344,2023/11/10,C0267,Tablet,Electronics,West,0,30000
100345,2023-03-11,C0503,Tablet,Electronics,South,-1,30000
100346,,C0463,Headphones,Electronics,South,1,3000
100347,2023-10-09,C0328,Headphones,Electronics,East,-1,3000
100348,2023/07/05,C0308,Desk,Furniture,South,1,8000
100349,2023/05/02,C0125,Desk,Furniture,South,1,8000
100350,invalid,C0027,Headphones,Electronics,East,2,3000
100351,invalid,C0565,Tablet,Electronics,South,2,30000
100352,invalid,C0408,Laptop,Electronics,West,1,55000
100353,2023/06/12,C0589,Headphones,Electronics,North,2,3000
100354,invalid,C0461,Sofa,Furniture,West,1,25000
100355,2023/08/10,C0565,Mobile,Electronics,South,0,20000
100356,invalid,C0057,Desk,Furniture,North,0,8000
100357,2023/06/27,C0166,Tablet,Electronics,East,1,30000
100358,2023/11/22,C0081,Desk,Furniture,East,1,8000
100359,invalid,C0129,Desk,Furniture,East,1,8000
100360,2023/12/04,C0173,Laptop,Electronics,South,3,55000
100361,2023-02-11,C0346,Desk,Furniture,North,-1,8000
100362,2023/10/20,C0591,Laptop,Electronics,East,-1,55000
100363,invalid,C0032,Chair,Furniture,West,3,3500
100364,,C0495,Sofa,Furniture,South,1,25000
100365,,C0062,Chair,Furniture,South,1,3500
100366,invalid,C0209,Chair,Furniture,East,2,3500
100367,,C0327,Tablet,Electronics,East,0,30000
100368,04-05-23,C0528,Headphones,Electronics,North,1,3000
100369,2023/03/14,C0274,Chair,Furniture,West,1,3500
100370,invalid,C0298,Laptop,Electronics,West,1,55000
100371,invalid,C0164,Mobile,Electronics,East,0,20000
100372,invalid,C0164,Mobile,Electronics,West,0,20000
100373,2023-07-21,C0510,Chair,Furniture,North,1,3500
100374,invalid,C0247,Desk,Furniture,South,2,8000
100375,invalid,C0289,Laptop,Electronics,West,1,55000
100376,2023-08-09,C0293,Sofa,Furniture,North,2,25000
100377,24-01-23,C0375,Mobile,Electronics,West,1,20000
100378,11-10-23,C0584,Chair,Furniture,South,1,3500
100379,invalid,C0396,Tablet,Electronics,West,1,30000
100380,2023-07-21,C0122,Headphones,Electronics,South,3,3000
100381,2023/04/12,C0348,Tablet,Electronics,East,0,30000
100382,2023-01-20,C0412,Desk,Furniture,North,3,8000
100383,invalid,C0342,Mobile,Electronics,West,-1,20000
100384,10-11-23,C0528,Mobile,Electronics,South,3,20000
100385,invalid,C0403,Tablet,Electronics,East,1,30000
100386,invalid,C0522,Desk,Furniture,West,0,8000
100387,11-12-23,C0018,Chair,Furniture,East,0,3500
100388,2023-11-02,C0598,Laptop,Electronics,East,2,55000
100389,2023-10-26,C0593,Chair,Furniture,South,1,3500
100390,2023/12/15,C0537,Chair,Furniture,West,1,3500
100391,2023/01/10,C0587,Mobile,Electronics,North,1,20000
100392,,C0429,Chair,Furniture,South,1,3500
100393,2023-12-28,C0514,Mobile,Electronics,West,2,20000
100394,,C0213,Mobile,Electronics,East,3,20000
100395,invalid,C0178,Chair,Furniture,West,1,3500
100396,2023/05/07,C0271,Desk,Furniture,West,1,8000
100397,28-05-23,C0306,Tablet,Electronics,South,3,30000
100398,,C0501,Sofa,Furniture,East,1,25000
100399,2023-10-21,C0281,Desk,Furniture,East,0,8000
100400,16-03-23,C0389,Sofa,Furniture,West,3,25000
100401,15-08-23,C0295,Tablet,Electronics,North,1,30000
100402,2023/10/03,C0491,Sofa,Furniture,South,1,25000
100403,2023-11-12,C0279,Tablet,Electronics,South,3,30000
100404,2023-12-09,C0246,Sofa,Furniture,South,3,25000
100405,2023-07-31,C0239,Desk,Furniture,North,1,8000
100406,2023/01/03,C0484,Tablet,Electronics,North,-1,30000
100407,,C0417,Desk,Furniture,West,1,8000
100408,27-11-23,C0295,Mobile,Electronics,East,0,20000
100409,invalid,C0092,Laptop,Electronics,South,0,55000
100410,,C0181,Mobile,Electronics,North,2,20000
100411,2023-06-02,C0297,Mobile,Electronics,North,-1,20000
100412,21-08-23,C0110,Desk,Furniture,East,3,8000
100413,2023/09/16,C0537,Sofa,Furniture,West,3,25000
100414,25-03-23,C0198,Chair,Furniture,North,1,3500
100415,2023-06-22,C0264,Sofa,Furniture,South,2,25000
100416,2023/11/09,C0582,Headphones,Electronics,South,1,3000
100417,invalid,C0416,Headphones,Electronics,West,-1,3000
100418,2023/09/02,C0098,Laptop,Electronics,South,2,55000
100419,,C0007,Tablet,Electronics,East,1,30000
100420,26-10-23,C0274,Chair,Furniture,East,0,3500
100421,21-12-23,C0012,Sofa,Furniture,East,3,25000
100422,23-03-23,C0122,Mobile,Electronics,West,1,20000
100423,2023-11-24,C0515,Chair,Furniture,East,-1,3500
100424,2023/09/02,C0227,Tablet,Electronics,South,1,30000
100425,invalid,C0383,Mobile,Electronics,West,2,20000
100426,invalid,C0224,Headphones,Electronics,South,3,3000
100427,2023-10-16,C0541,Desk,Furniture,East,2,8000
100428,invalid,C0561,Laptop,Electronics,South,1,55000
100429,2023-12-15,C0336,Mobile,Electronics,West,1,20000
100430,2023-09-19,C0598,Mobile,Electronics,West,-1,20000
100431,2023/09/20,C0057,Chair,Furniture,West,0,3500
100432,invalid,C0578,Chair,Furniture,North,2,3500
100433,,C0316,Sofa,Furniture,North,0,25000
100434,2023-08-05,C0224,Headphones,Electronics,North,1,3000
100435,2023-08-30,C0066,Tablet,Electronics,North,-1,30000
100436,2023/11/25,C0419,Laptop,Electronics,South,1,55000
100437,,C0431,Sofa,Furniture,East,-1,25000
100438,invalid,C0385,Headphones,Electronics,North,2,3000
100439,2023/10/03,C0357,Sofa,Furniture,North,0,25000
100440,2023-01-12,C0131,Chair,Furniture,South,3,3500
100441,invalid,C0558,Tablet,Electronics,West,2,30000
100442,21-03-23,C0254,Headphones,Electronics,West,1,3000
100443,,C0116,Tablet,Electronics,North,1,30000
100444,2023-02-21,C0247,Headphones,Electronics,South,1,3000
100445,2023/01/23,C0458,Desk,Furniture,North,1,8000
100446,2023-03-13,C0240,Chair,Furniture,South,2,3500
100447,invalid,C0240,Desk,Furniture,East,1,8000
100448,15-03-23,C0329,Headphones,Electronics,South,-1,3000
100449,21-05-23,C0227,Sofa,Furniture,West,3,25000
100450,invalid,C0180,Laptop,Electronics,West,3,55000
100451,,C0391,Laptop,Electronics,East,1,55000
100452,invalid,C0386,Mobile,Electronics,South,1,20000
100453,2023/08/26,C0231,Mobile,Electronics,East,0,20000
100454,invalid,C0423,Laptop,Electronics,West,3,55000
100455,2023/06/19,C0249,Mobile,Electronics,East,2,20000
100456,2023-10-02,C0461,Sofa,Furniture,East,1,25000
100457,13-07-23,C0196,Sofa,Furniture,North,0,25000
100458,2023/10/28,C0041,Sofa,Furniture,North,3,25000
100459,,C0573,Sofa,Furniture,South,-1,25000
100460,2023/04/08,C0311,Headphones,Electronics,North,1,3000
100461,invalid,C0491,Sofa,Furniture,South,1,25000
100462,14-07-23,C0246,Mobile,Electronics,East,2,20000
100463,04-07-23,C0368,Chair,Furniture,East,3,3500
100464,,C0478,Desk,Furniture,North,2,8000
100465,2023-10-16,C0321,Mobile,Electronics,West,1,20000
100466,11-10-23,C0150,Headphones,Electronics,North,1,3000
100467,2023/04/11,C0428,Desk,Furniture,East,3,8000
100468,,C0389,Tablet,Electronics,South,1,30000
100469,,C0346,Sofa,Furniture,East,-1,25000
100470,28-03-23,C0472,Sofa,Furniture,South,2,25000
100471,2023/10/05,C0560,Mobile,Electronics,West,-1,20000
100472,2023-12-09,C0537,Sofa,Furniture,North,1,25000
100473,2023/11/19,C0007,Laptop,Electronics,West,0,55000
100474,2023/09/16,C0155,Mobile,Electronics,North,1,20000
100475,,C0062,Chair,Furniture,West,1,3500
100476,2023-01-09,C0565,Laptop,Electronics,West,3,55000
100477,2023-09-15,C0282,Desk,Furniture,East,-1,8000
100478,2023-02-19,C0441,Headphones,Electronics,South,-1,3000
100479,invalid,C0247,Desk,Furniture,South,1,8000
100480,,C0363,Tablet,Electronics,East,0,30000
100481,2023/06/03,C0471,Tablet,Electronics,South,2,30000
